Character Name,Link
Category:Dinosaurs,https://scoobydoo.fandom.com/wiki/Category:Dinosaurs
Category:Directors within the Scooby-Doo universe,https://scoobydoo.fandom.com/wiki/Category:Directors_within_the_Scooby-Doo_universe
Category:Disguises,https://scoobydoo.fandom.com/wiki/Category:Disguises
Category:Dogs,https://scoobydoo.fandom.com/wiki/Category:Dogs
"Scooby-Doo, Shaggy Rogers, and Velma Dinkley","https://scoobydoo.fandom.com/wiki/Scooby-Doo,_Shaggy_Rogers,_and_Velma_Dinkley"
Category:Dream characters,https://scoobydoo.fandom.com/wiki/Category:Dream_characters
Category:Farmers,https://scoobydoo.fandom.com/wiki/Category:Farmers
Category:Fictional characters within the Scooby-Doo universe,https://scoobydoo.fandom.com/wiki/Category:Fictional_characters_within_the_Scooby-Doo_universe
Category:Film characters,https://scoobydoo.fandom.com/wiki/Category:Film_characters
Category:Football players,https://scoobydoo.fandom.com/wiki/Category:Football_players
Category:Framers,https://scoobydoo.fandom.com/wiki/Category:Framers
Category:Frankenstein's monsters,https://scoobydoo.fandom.com/wiki/Category:Frankenstein%27s_monsters
Category:Gargoyles,https://scoobydoo.fandom.com/wiki/Category:Gargoyles
Category:Giants,https://scoobydoo.fandom.com/wiki/Category:Giants
Category:Gremlins,https://scoobydoo.fandom.com/wiki/Category:Gremlins
Category:Groundskeepers,https://scoobydoo.fandom.com/wiki/Category:Groundskeepers
Category:Groups,https://scoobydoo.fandom.com/wiki/Category:Groups
Category:Guest stars,https://scoobydoo.fandom.com/wiki/Category:Guest_stars
Category:Guides,https://scoobydoo.fandom.com/wiki/Category:Guides
Category:Henchmen,https://scoobydoo.fandom.com/wiki/Category:Henchmen
Category:Inanimate characters,https://scoobydoo.fandom.com/wiki/Category:Inanimate_characters
Category:Janitors,https://scoobydoo.fandom.com/wiki/Category:Janitors
Fred Jones and Daphne Blake (Robbie Amell and Kate Melton),https://scoobydoo.fandom.com/wiki/Fred_Jones_and_Daphne_Blake_(Robbie_Amell_and_Kate_Melton)
Category:Journalists,https://scoobydoo.fandom.com/wiki/Category:Journalists
Category:Judges,https://scoobydoo.fandom.com/wiki/Category:Judges
Category:Kids,https://scoobydoo.fandom.com/wiki/Category:Kids
Category:Law enforcement,https://scoobydoo.fandom.com/wiki/Category:Law_enforcement
Category:Lawyers,https://scoobydoo.fandom.com/wiki/Category:Lawyers
Category:Legion of Doom,https://scoobydoo.fandom.com/wiki/Category:Legion_of_Doom
Category:Librarians,https://scoobydoo.fandom.com/wiki/Category:Librarians
Category:Magicians,https://scoobydoo.fandom.com/wiki/Category:Magicians
Category:Maids,https://scoobydoo.fandom.com/wiki/Category:Maids
Category:Main characters' love interests,https://scoobydoo.fandom.com/wiki/Category:Main_characters%27_love_interests
Category:Marine Biologists,https://scoobydoo.fandom.com/wiki/Category:Marine_Biologists
Category:Mariners,https://scoobydoo.fandom.com/wiki/Category:Mariners
Category:Martial artists,https://scoobydoo.fandom.com/wiki/Category:Martial_artists
Category:Mechanics,https://scoobydoo.fandom.com/wiki/Category:Mechanics
Category:Medical doctors,https://scoobydoo.fandom.com/wiki/Category:Medical_doctors
Category:Mentioned-only characters,https://scoobydoo.fandom.com/wiki/Category:Mentioned-only_characters
Category:Military,https://scoobydoo.fandom.com/wiki/Category:Military
Category:Miscellaneous media characters,https://scoobydoo.fandom.com/wiki/Category:Miscellaneous_media_characters
Category:Models,https://scoobydoo.fandom.com/wiki/Category:Models
Category:Monsters,https://scoobydoo.fandom.com/wiki/Category:Monsters
Category:Museum directors,https://scoobydoo.fandom.com/wiki/Category:Museum_directors
Category:Musicians within the Scooby-Doo universe,https://scoobydoo.fandom.com/wiki/Category:Musicians_within_the_Scooby-Doo_universe
Category:Native Americans,https://scoobydoo.fandom.com/wiki/Category:Native_Americans
Category:Neanderthals,https://scoobydoo.fandom.com/wiki/Category:Neanderthals
Category:Non-speaking characters,https://scoobydoo.fandom.com/wiki/Category:Non-speaking_characters
Category:Parents,https://scoobydoo.fandom.com/wiki/Category:Parents
Category:Pets,https://scoobydoo.fandom.com/wiki/Category:Pets
Category:Pilots,https://scoobydoo.fandom.com/wiki/Category:Pilots
Category:Pirates,https://scoobydoo.fandom.com/wiki/Category:Pirates
Category:Politicians,https://scoobydoo.fandom.com/wiki/Category:Politicians
Category:Principals,https://scoobydoo.fandom.com/wiki/Category:Principals
Category:Producers within the Scooby-Doo universe,https://scoobydoo.fandom.com/wiki/Category:Producers_within_the_Scooby-Doo_universe
Category:Programmers,https://scoobydoo.fandom.com/wiki/Category:Programmers
Category:Publicity seekers,https://scoobydoo.fandom.com/wiki/Category:Publicity_seekers
Category:Puppets,https://scoobydoo.fandom.com/wiki/Category:Puppets
Category:Racers,https://scoobydoo.fandom.com/wiki/Category:Racers
Category:Radio personality,https://scoobydoo.fandom.com/wiki/Category:Radio_personality
Category:Real monsters,https://scoobydoo.fandom.com/wiki/Category:Real_monsters
Category:Recurring characters,https://scoobydoo.fandom.com/wiki/Category:Recurring_characters
Category:Redeemed villains,https://scoobydoo.fandom.com/wiki/Category:Redeemed_villains
Category:Relationships,https://scoobydoo.fandom.com/wiki/Category:Relationships
Category:Robots,https://scoobydoo.fandom.com/wiki/Category:Robots
Shaggy Rogers and Velma Dinkley (Nick Palatas and Hayley Kiyoko),https://scoobydoo.fandom.com/wiki/Shaggy_Rogers_and_Velma_Dinkley_(Nick_Palatas_and_Hayley_Kiyoko)
Category:Scientists,https://scoobydoo.fandom.com/wiki/Category:Scientists
Category:Scooby-Doo! Mystery Adventures characters,https://scoobydoo.fandom.com/wiki/Category:Scooby-Doo!_Mystery_Adventures_characters
Category:Scooby-Doo! The Sword and the Scoob characters,https://scoobydoo.fandom.com/wiki/Category:Scooby-Doo!_The_Sword_and_the_Scoob_characters
"Scooby-Doo, Shaggy Rogers, and Velma Dinkley (Scooby-Doo! Mystery Incorporated)","https://scoobydoo.fandom.com/wiki/Scooby-Doo,_Shaggy_Rogers,_and_Velma_Dinkley_(Scooby-Doo!_Mystery_Incorporated)"
Category:Shaggy Rogers' love interests,https://scoobydoo.fandom.com/wiki/Category:Shaggy_Rogers%27_love_interests
Category:Species,https://scoobydoo.fandom.com/wiki/Category:Species
Category:Springdale citizens,https://scoobydoo.fandom.com/wiki/Category:Springdale_citizens
